host,dnt,user-agent,accept,accept-encoding,accept-language,ad,canvas,cookies,font-flash,language-flash,platform-flash,languages-js,platform,plugins,screen_width,screen_height,screen_depth,storage_local,storage_session,timezone,userAgent-js,webGLVendor,webGLRenderer
0,0,19,2,0,15,1,20,0,0,0,0,15,2,0,2,1,0,0,0,11,19,3,19
0,0,37,2,0,15,1,38,0,0,0,0,15,2,0,4,1,0,0,0,11,35,3,32
0,1,11,1,0,12,1,35,0,0,0,0,3,2,1,1,1,0,0,0,4,11,3,33
0,0,38,0,0,19,0,39,0,0,0,0,18,0,0,12,14,0,0,0,7,36,6,34
2,0,27,3,0,12,1,14,0,0,0,0,3,2,1,17,20,0,0,0,1,26,2,2
0,1,13,1,0,1,1,13,0,0,0,0,1,0,1,6,8,0,0,0,1,13,0,12
0,1,39,1,0,11,1,40,0,0,0,0,11,0,1,18,21,0,0,0,4,37,0,12
1,0,27,3,0,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,40,2,0,15,1,41,0,0,0,0,15,2,0,1,1,0,0,0,11,38,3,35
0,0,41,0,3,3,1,42,0,0,0,0,6,8,1,19,22,0,0,0,8,39,12,36
0,1,42,1,0,11,1,40,0,0,0,0,11,0,1,18,21,0,0,0,17,40,2,2
0,0,7,3,2,23,0,43,0,0,0,0,22,0,16,3,3,0,0,0,4,7,6,37
1,0,18,3,3,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,43,0,0,24,0,44,0,0,0,0,23,1,0,1,1,0,0,0,4,41,1,38
0,0,44,3,0,25,1,15,0,0,0,0,24,5,1,7,9,1,0,0,4,42,7,14
0,1,42,1,0,11,1,40,0,0,0,0,11,0,1,18,21,0,0,0,4,43,0,12
1,0,18,3,3,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,17,1,0,12,1,11,0,0,0,0,3,2,1,0,0,0,0,0,16,18,3,39
1,0,18,3,3,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
1,0,18,3,3,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,1,42,1,0,11,1,40,0,0,0,0,11,0,1,18,21,0,0,0,4,43,0,12
0,0,16,4,1,6,1,6,0,0,0,0,6,8,1,19,23,0,0,0,3,44,3,5
0,1,45,0,0,26,1,45,0,0,0,0,25,8,1,20,24,0,0,0,8,45,12,36
0,0,46,1,0,20,1,46,0,0,0,0,19,2,1,3,25,0,0,0,11,46,3,40
0,0,15,3,0,13,1,15,0,0,0,0,6,5,1,7,26,1,0,0,0,15,7,14
0,0,47,2,0,15,1,47,0,0,0,0,15,2,0,21,1,0,0,0,11,47,3,41
0,1,48,2,0,3,1,48,0,0,0,0,3,8,1,19,22,0,0,0,4,48,12,42
0,0,49,1,0,20,1,46,0,0,0,0,19,2,1,3,25,0,0,0,11,49,3,40
0,0,50,0,0,3,1,49,0,0,0,0,3,1,0,3,3,0,0,0,0,50,0,6
0,0,18,3,0,12,1,14,3,0,0,0,3,2,1,17,2,0,3,3,1,51,2,2
