supplier,color
com.sun,#ff0000
java.awt,#ff004c
java.beans,#ff0099
java.lang,#ff00e5
java.net,#cc00ff
java.security,#7f00ff
java.util,#3200ff
javax.accessibility,#0019ff
javax.swing,#0065ff
javax.xml,#00b2ff
jdk.internal,#00ffff
org.gjt,#00ffb2
org.jedit,#00ff65
org.xml,#00ff19
sun.awt,#33ff00
sun.datatransfer,#7fff00
sun.font,#cbff00
sun.java2d,#ffe500
sun.swing,#ff9800
sun.text,#ff4c00
