dependency,color
cmm,#ff8f00
color,#ff8800
concurrent,#ff8100
datatransfer,#ff7a00
dnd,#ff7400
event,#ff6d00
font,#ff6600
geom,#ff5f00
im,#ff5800
image,#ff5100
java,#ff4b00
loops,#ff4400
lri,#ff3d00
marlin,#ff3600
pipe,#ff2f00
plaf,#ff2800
reflect,#ff2200
text,#ff1b00
util,#ff1400
x11,#ff0d00
xr,#ff0600
